pokemon_name_mega,pokemon_id,in_fetch_mega_ids_js,generation
abomasnow-mega,10060,TRUE,Gen IV (Sinnoh)
absol-mega,10057,TRUE,Gen III (Hoenn)
absol-mega-z,10307,FALSE,Gen VII (Alola) - Z-Move variant
aerodactyl-mega,10042,TRUE,Gen I (Kanto)
aggron-mega,10053,TRUE,Gen III (Hoenn)
alakazam-mega,10037,TRUE,Gen I (Kanto)
altaria-mega,10067,TRUE,Gen III (Hoenn)
ampharos-mega,10045,TRUE,Gen II (Johto)
audino-mega,10069,TRUE,Gen V (Unova)
banette-mega,10056,TRUE,Gen III (Hoenn)
barbaracle-mega,10298,FALSE,Gen VI (Kalos)
baxcalibur-mega,10325,FALSE,Gen IX (Paldea)
beedrill-mega,10090,FALSE,Gen I (Kanto)
blastoise-mega,10036,FALSE,Gen I (Kanto)
blaziken-mega,10050,TRUE,Gen III (Hoenn)
camerupt-mega,10087,TRUE,Gen III (Hoenn)
chandelure-mega,10291,FALSE,Gen V (Unova)
charizard-mega-x,10034,FALSE,Gen I (Kanto)
charizard-mega-y,10035,FALSE,Gen I (Kanto)
chesnaught-mega,10292,FALSE,Gen VI (Kalos)
chimecho-mega,10306,FALSE,Gen IV (Sinnoh)
clefable-mega,10278,FALSE,Gen I (Kanto)
crabominable-mega,10315,FALSE,Gen VII (Alola)
darkrai-mega,10312,FALSE,Gen IV (Sinnoh)
delphox-mega,10293,FALSE,Gen VI (Kalos)
diancie-mega,10075,TRUE,Gen VI (Kalos)
dragalge-mega,10299,FALSE,Gen VI (Kalos)
dragonite-mega,10281,FALSE,Gen I (Kanto)
drampa-mega,10302,FALSE,Gen VII (Alola)
eelektross-mega,10290,FALSE,Gen V (Unova)
emboar-mega,10286,FALSE,Gen V (Unova)
excadrill-mega,10287,FALSE,Gen V (Unova)
falinks-mega,10303,FALSE,Gen VIII (Galar)
feraligatr-mega,10283,FALSE,Gen II (Johto)
floette-mega,10296,FALSE,Gen VI (Kalos)
froslass-mega,10285,FALSE,Gen IV (Sinnoh)
gallade-mega,10068,TRUE,Gen IV (Sinnoh)
garchomp-mega,10058,FALSE,Gen IV (Sinnoh)
garchomp-mega-z,10309,FALSE,Gen VII (Alola) - Z-Move variant
gardevoir-mega,10051,TRUE,Gen III (Hoenn)
gengar-mega,10038,FALSE,Gen I (Kanto)
glalie-mega,10074,TRUE,Gen III (Hoenn)
glimmora-mega,10321,FALSE,Gen IX (Paldea)
golisopod-mega,10316,FALSE,Gen VII (Alola)
golurk-mega,10313,FALSE,Gen V (Unova)
greninja-mega,10294,FALSE,Gen VI (Kalos)
gyarados-mega,10041,TRUE,Gen I (Kanto)
hawlucha-mega,10300,FALSE,Gen VI (Kalos)
heatran-mega,10311,FALSE,Gen IV (Sinnoh)
heracross-mega,10047,TRUE,Gen II (Johto)
houndoom-mega,10048,TRUE,Gen II (Johto)
kangaskhan-mega,10039,TRUE,Gen I (Kanto)
latias-mega,10062,TRUE,Gen III (Hoenn)
latios-mega,10063,TRUE,Gen III (Hoenn)
lopunny-mega,10088,TRUE,Gen IV (Sinnoh)
lucario-mega,10059,TRUE,Gen IV (Sinnoh)
lucario-mega-z,10310,FALSE,Gen VII (Alola) - Z-Move variant
magearna-mega,10317,FALSE,Gen VII (Alola)
magearna-original-mega,10318,FALSE,Gen VII (Alola) - Original Color variant
malamar-mega,10297,FALSE,Gen VI (Kalos)
manectric-mega,10055,TRUE,Gen III (Hoenn)
mawile-mega,10052,TRUE,Gen III (Hoenn)
medicham-mega,10054,TRUE,Gen III (Hoenn)
meganium-mega,10282,FALSE,Gen II (Johto)
meowstic-female-mega,10326,FALSE,Gen VI (Kalos) - Female variant
meowstic-male-mega,10314,FALSE,Gen VI (Kalos) - Male variant
metagross-mega,10076,TRUE,Gen III (Hoenn)
mewtwo-mega-x,10043,TRUE,Gen I (Kanto)
mewtwo-mega-y,10044,TRUE,Gen I (Kanto)
pidgeot-mega,10073,FALSE,Gen I (Kanto)
pinsir-mega,10040,TRUE,Gen I (Kanto)
pyroar-mega,10295,FALSE,Gen VI (Kalos)
raichu-mega-x,10304,FALSE,Gen I (Kanto) / Alola
raichu-mega-y,10305,FALSE,Gen I (Kanto) / Alola
rayquaza-mega,10079,TRUE,Gen III (Hoenn)
sableye-mega,10066,TRUE,Gen III (Hoenn)
salamence-mega,10089,TRUE,Gen III (Hoenn)
sceptile-mega,10065,TRUE,Gen III (Hoenn)
scizor-mega,10046,TRUE,Gen II (Johto)
scolipede-mega,10288,FALSE,Gen V (Unova)
scovillain-mega,10320,FALSE,Gen IX (Paldea)
scrafty-mega,10289,FALSE,Gen V (Unova)
sharpedo-mega,10070,FALSE,Gen III (Hoenn)
skarmory-mega,10284,FALSE,Gen II (Johto)
slowbro-mega,10071,FALSE,Gen I (Kanto)
staraptor-mega,10308,FALSE,Gen IV (Sinnoh)
starmie-mega,10280,FALSE,Gen I (Kanto)
steelix-mega,10072,TRUE,Gen II (Johto)
swampert-mega,10064,TRUE,Gen III (Hoenn)
tatsugiri-curly-mega,10322,FALSE,Gen IX (Paldea) - Curly form
tatsugiri-droopy-mega,10323,FALSE,Gen IX (Paldea) - Droopy form
tatsugiri-stretchy-mega,10324,FALSE,Gen IX (Paldea) - Stretchy form
tyranitar-mega,10049,TRUE,Gen II (Johto)
venusaur-mega,10033,FALSE,Gen I (Kanto)
victreebel-mega,10279,FALSE,Gen I (Kanto)
zeraora-mega,10319,FALSE,Gen VII (Alola)
zygarde-mega,10301,FALSE,Gen VI (Kalos)
